ticker,name,stockType
PKO,PKO Bank Polski,STOCK
PKN,PKN Orlen,STOCK
PZU,PZU SA,STOCK
SPL,Sample SPL,STOCK
PEO,Sample PEO,STOCK
DNP,Sample DNP,STOCK
ING,ING Bank,STOCK
MBK,Sample MBK,STOCK
ALE,Sample ALE,STOCK
LPP,LPP SA,STOCK
KGH,KGHM Polska Miedź,STOCK
PGE,PGE Polska Grupa Energetyczna,STOCK
CDR,CD Projekt,STOCK
ZAB,Sample ZAB,STOCK
ACP,Sample ACP,STOCK
ALR,Sample ALR,STOCK
TPE,Sample TPE,STOCK
BHW,Sample BHW,STOCK
BDX,Sample BDX,STOCK
CCC,CCC SA,STOCK
PCO,Sample PCO,STOCK
OPL,Sample OPL,STOCK
ENA,Sample ENA,STOCK
CPS,Sample CPS,STOCK
XTB,X-Trade Brokers,STOCK
KTY,Sample KTY,STOCK
KRU,Sample KRU,STOCK
MRB,Sample MRB,STOCK
CAR,Sample CAR,STOCK
ASE,Sample ASE,STOCK
GPW,Warsaw Stock Exchange,STOCK
WPL,Sample WPL,STOCK
RBW,Sample RBW,STOCK
NEU,Sample NEU,STOCK
MIL,Sample MIL,STOCK
PEP,Sample PEP,STOCK
PKP,PKP SA,STOCK
APR,Sample APR,STOCK
STP,Sample STP,STOCK
LWB,Sample LWB,STOCK
BFT,Sample BFT,STOCK
DOM,Sample DOM,STOCK
ERB,Sample ERB,STOCK
ENT,Sample ENT,STOCK
UNI,Sample UNI,STOCK
ANR,Sample ANR,STOCK
SNK,Sample SNK,STOCK
