Date,Open,High,Low,Close
2025-07-28,5.497,5.497,5.405,5.422
2025-07-29,5.43,5.43,5.384,5.422
2025-07-30,5.422,5.45,5.385,5.45
2025-07-31,5.432,5.519,5.431,5.499
2025-08-01,5.508,5.566,5.418,5.453
2025-08-04,5.492,5.492,5.419,5.44
2025-08-05,5.419,5.458,5.418,5.443
2025-08-06,5.472,5.476,5.429,5.462
2025-08-07,5.464,5.467,5.372,5.406
2025-08-08,5.414,5.445,5.405,5.42
2025-08-11,5.4,5.414,5.375,5.414
2025-08-12,5.4,5.431,5.38,5.431
2025-08-13,5.418,5.418,5.36,5.385
2025-08-14,5.376,5.396,5.332,5.396
2025-08-15,5.37,5.37,5.32,5.32
2025-08-18,5.437,5.437,5.437,5.437
2025-08-19,5.443,5.45,5.409,5.431
2025-08-20,5.428,5.433,5.408,5.427
2025-08-21,5.409,5.453,5.395,5.441
2025-08-22,5.452,5.461,5.4,5.416
