Date,Open,High,Low,Close,Volume
2025-07-23,209.2,209.2,205,205.8,75235
2025-07-24,204.6,207.4,204,207,52137
2025-07-25,207.4,207.4,203,206.6,68543
2025-07-28,206.6,209.6,201.2,202.6,39337
2025-07-29,202,208.2,200.2,208.2,68251
2025-07-30,207.8,208,202.4,205.4,53716
2025-07-31,205.4,207.6,200,202.8,194070
2025-08-01,202.6,205.6,199.4,201.8,64046
2025-08-04,201.6,201.6,197.3,201.2,34421
2025-08-05,201,207.6,199.8,207.6,79514
2025-08-06,207.4,209.8,204.2,208,129334
2025-08-07,208,212,206.2,209.6,80238
2025-08-08,209,209.6,196,196.5,106180
2025-08-11,196,199.5,191.1,192.7,88248
2025-08-12,193,194.1,184.8,185.8,127908
2025-08-13,181.4,189.8,181.4,187.8,162536
2025-08-14,188,190.1,182.2,184.6,171082
2025-08-18,184.6,188.4,183.7,187.8,130242
2025-08-19,187.8,191.9,187,190.6,90213
2025-08-20,191,196,190,195.1,73693
2025-08-21,197.4,201.4,195.6,200.2,83546
