Date,Open,High,Low,Close,Volume
2025-07-28,36.4,37.08,36.065,36.32,2576761
2025-07-29,36.565,37.065,35.845,36.89,3381238
2025-07-30,36.66,37.75,36.655,37.75,4116205
2025-07-31,37.72,38.44,36.8,37.015,5886493
2025-08-01,36.71,37,35.385,35.69,2692586
2025-08-04,35.585,36.125,35.045,36.125,1287216
2025-08-05,36.125,36.495,35.625,35.815,1724233
2025-08-06,35.61,36.145,35.325,36.145,2214806
2025-08-07,36.145,37.59,35.655,37.275,2734993
2025-08-08,37.25,37.98,36.835,37.785,2360460
2025-08-11,37.765,37.89,37.1,37.29,1736241
2025-08-12,37.31,37.51,37.045,37.235,1096121
2025-08-13,37.47,38.075,37.26,37.895,2572929
2025-08-14,37.75,37.8,37.335,37.675,1667674
2025-08-18,37.675,38.59,37.425,37.875,3124350
2025-08-19,38.1,38.6,37.835,38.5,2867057
2025-08-20,38.4,38.52,37.6,37.96,2116562
2025-08-21,37.9,38.64,37.865,38.48,2168915
2025-08-22,37.9,38.55,37.375,38.34,3740805
