Date,Open,High,Low,Close,Volume
2025-07-28,102.9,103.9,100.45,100.8,319831
2025-07-29,100.4,103.8,99.9,103,556510
2025-07-30,103.2,103.7,101.55,102.45,322680
2025-07-31,103,104.15,101.2,101.25,272938
2025-08-01,101.2,101.25,97.66,99.06,384811
2025-08-04,99.06,100.85,99.06,100.3,169540
2025-08-05,100.3,101.15,98.86,99.74,277187
2025-08-06,101,107.2,100.5,106.85,1094640
2025-08-07,106.85,114.6,105.55,114,1179929
2025-08-08,114,115.75,112.55,115.6,400441
2025-08-11,115.6,116.4,113.65,115,242021
2025-08-12,114.05,118,114.05,117.55,401994
2025-08-13,117.55,118.65,115.85,117.75,247525
2025-08-14,116,117.1,113.25,115.7,404031
2025-08-18,116,116.4,112.8,115.8,163815
2025-08-19,115.7,118.3,114.45,116.85,296653
2025-08-20,117,117.4,115.05,117.05,230667
2025-08-21,117,118.2,116.05,118,167148
2025-08-22,112.35,112.85,105.6,107,1115893
