Date,Open,High,Low,Close,Volume
2025-07-28,29.35,29.4,28.55,28.55,6770
2025-07-29,28.55,28.7,28.15,28.2,7987
2025-07-30,28.2,28.35,27.95,28,7709
2025-07-31,28.05,28.6,28,28.3,3043
2025-08-01,28.2,28.3,27.3,27.8,14152
2025-08-04,27.5,27.95,27.5,27.7,4416
2025-08-05,27.8,27.85,27.35,27.5,8883
2025-08-06,27.7,28.2,27.45,28,6204
2025-08-07,27.95,28.45,27.95,28.15,9125
2025-08-08,28.1,28.35,27.45,27.7,4996
2025-08-11,27.75,28,27.3,27.3,28299
2025-08-12,27.55,27.8,26.2,27.15,72852
2025-08-13,27.15,27.15,26.5,26.8,16159
2025-08-14,26.85,27,26.4,26.9,7135
2025-08-18,26.9,27,26.65,26.75,10372
2025-08-19,26.75,29.1,26.7,28.8,36302
2025-08-20,28.5,29.2,28.3,29,9642
2025-08-21,29,29.2,28.75,29,8528
2025-08-22,29.1,29.1,28.75,28.75,55000
