Date,Open,High,Low,Close,Volume
2025-07-28,20.35,20.65,20.2,20.5,74828
2025-07-29,20.65,20.65,20.2,20.2,40637
2025-07-30,20.35,20.4,20.2,20.4,28064
2025-07-31,20.4,20.6,19.88,20,125669
2025-08-01,19.94,20.05,19.7,19.82,100464
2025-08-04,19.72,20.3,19.72,20.1,57929
2025-08-05,20.1,20.3,19.94,20.15,44916
2025-08-06,20.2,20.45,20.15,20.35,40585
2025-08-07,20.4,20.6,20.1,20.3,67836
2025-08-08,20.3,20.4,20.05,20.3,35494
2025-08-11,20.3,20.45,20.15,20.15,29544
2025-08-12,20.15,20.45,19.96,20.15,52257
2025-08-13,20,20.2,19.82,19.84,36295
2025-08-14,19.98,20.35,19.92,20,68507
2025-08-18,20,20.85,19.98,20.8,83891
2025-08-19,20.85,21.3,20.75,21.2,67912
2025-08-20,21.3,21.35,20.75,20.95,44697
2025-08-21,20.85,20.85,20.4,20.5,50828
2025-08-22,20.6,20.6,20.2,20.2,49080
