Date,Open,High,Low,Close,Volume
2025-07-23,76.9,77.5,76,76.5,4199
2025-07-24,77,78.4,76.5,77.8,1465
2025-07-25,77.9,77.9,76.3,77,1260
2025-07-28,77,77.5,76,77.1,2945
2025-07-29,75.3,76.9,75.3,76,743
2025-07-30,76,76,75.4,75.6,903
2025-07-31,76.5,77,75.6,77,1642
2025-08-01,76.1,78.9,76,76.8,5076
2025-08-04,76.6,76.8,75.3,76.7,3364
2025-08-05,76.7,78.2,75.5,76.4,2902
2025-08-06,76.3,76.4,75.6,76.4,962
2025-08-07,76.4,77.4,76,76.9,1884
2025-08-08,76.4,76.5,75.2,76.2,5369
2025-08-11,76.2,78,75.3,75.4,2339
2025-08-12,75.4,75.5,74.8,75.2,1339
2025-08-13,75,75.6,73.7,74,2184
2025-08-14,73.9,74,69.6,70.8,6495
2025-08-18,70.8,72.8,70,71,4787
2025-08-19,72,72.8,71,71,2362
2025-08-20,71.9,72.1,70.5,72.1,1790
2025-08-21,71.9,72.3,71,71.8,2385
