Date,Open,High,Low,Close,Volume
2025-07-28,620,620.8,580,583.4,70755
2025-07-29,580,598,560,568,182861
2025-07-30,568,572,549.2,565.4,139424
2025-07-31,567.8,569.4,559.4,562.6,44159
2025-08-01,558.8,559,535.4,535.4,58450
2025-08-04,536.8,545.6,531,540,42579
2025-08-05,545,548,529,534.2,45119
2025-08-06,538.8,541.8,530,532.8,48622
2025-08-07,539,570,535.2,562.8,124182
2025-08-08,566.8,588,560,576.8,54854
2025-08-11,579,581.8,563.4,566.4,44804
2025-08-12,563.2,580,563,570.2,37034
2025-08-13,579.4,579.6,556,560.4,29833
2025-08-14,564,564,554,557,27256
2025-08-18,562.6,572.4,558,565.4,27762
2025-08-19,566,584.6,566,579.8,53647
2025-08-20,584,586.6,574.6,583,51191
2025-08-21,585.2,589,572,572,61540
2025-08-22,572,592,570,578.6,49375
