Date,Open,High,Low,Close,Volume
2025-07-28,3455,3470,3365,3400,8794
2025-07-29,3380,3465,3300,3380,5826
2025-07-30,3375,3425,3325,3415,3898
2025-07-31,3435,3440,3375,3400,3172
2025-08-01,3395,3395,3300,3335,3227
2025-08-04,3340,3400,3295,3400,2248
2025-08-05,3400,3470,3365,3370,5827
2025-08-06,3395,3435,3345,3410,2060
2025-08-07,3400,3500,3395,3470,4860
2025-08-08,3470,3500,3445,3495,1814
2025-08-11,3500,3515,3400,3425,1075
2025-08-12,3450,3460,3290,3455,6954
2025-08-13,3455,3495,3400,3435,894
2025-08-14,3415,3465,3370,3410,2192
2025-08-18,3415,3455,3375,3435,1372
2025-08-19,3420,3500,3400,3475,3343
2025-08-20,3470,3500,3355,3390,2088
2025-08-21,3390,3395,3325,3385,2152
2025-08-22,3380,3385,3295,3335,2863
