Date,Open,High,Low,Close,Volume
2025-07-24,111.8,112.2,111.4,111.8,34528
2025-07-25,111.8,111.8,110.6,111.6,21074
2025-07-28,111.6,111.6,109,109,21298
2025-07-29,109,110.4,109,109.8,26260
2025-07-30,109.6,110,109,109.8,32631
2025-07-31,110,110.4,108.6,109.4,38429
2025-08-01,109.4,110,107.6,108,39019
2025-08-04,108.6,109,107.8,108.8,18106
2025-08-05,109.4,109.4,107,107.8,20475
2025-08-06,108.8,109.2,107.6,109.2,16461
2025-08-07,109.6,112.4,109.2,112.2,72002
2025-08-08,111,112.2,110.2,112.2,22870
2025-08-11,112.2,113,110.6,111,17906
2025-08-12,111.6,111.8,110.6,111.8,7695
2025-08-13,111.8,112.2,110.8,112.2,23425
2025-08-14,111.6,112,109.6,110.8,24083
2025-08-18,111,111.2,109.6,110.6,10509
2025-08-19,110.8,111.2,109,110.4,31942
2025-08-20,110,110.4,109,110.2,22259
2025-08-21,109,112.4,109,112.4,33544
2025-08-22,110.2,110.2,103.8,105.2,109103
