Date,Open,High,Low,Close,Volume
2025-07-28,210.5,211.5,199.85,200.2,206175
2025-07-29,201.5,202.1,193.5,196.7,319501
2025-07-30,197,198.4,193.55,197.05,242838
2025-07-31,197.85,198.85,192.3,193.85,244576
2025-08-01,194,194.55,187.7,189.4,261241
2025-08-04,190.15,190.7,187.4,190.2,288800
2025-08-05,191.9,191.9,183.3,183.3,331393
2025-08-06,185,185.95,182.9,184.75,336245
2025-08-07,183,191.4,181.55,186.4,667764
2025-08-08,192,193.8,165.25,171.65,1641688
2025-08-11,174.15,177.25,171,171,531898
2025-08-12,172,174.65,164.8,166.05,621484
2025-08-13,166.05,168.4,164.85,165.1,378513
2025-08-14,165,166.25,162.85,164,590061
2025-08-18,167,168,163.7,166,567093
2025-08-19,168.9,179.1,168.5,177.1,1044042
2025-08-20,177.85,177.9,172.4,172.4,396828
2025-08-21,173.2,173.8,169.6,170,366081
2025-08-22,169.8,174.15,168.5,171.8,293218
