Date,Open,High,Low,Close,Volume
2025-07-28,255.3,256.9,248.2,249.8,210324
2025-07-29,250.7,254.9,250.7,252.1,149946
2025-07-30,252.1,254.8,249.7,254.3,103308
2025-07-31,254.3,255.5,250.2,251.2,103936
2025-08-01,250.6,251,245.5,247.1,162444
2025-08-04,247.1,248.9,241.6,247.3,203802
2025-08-05,250,252.4,243.7,246.3,181625
2025-08-06,246.3,248.9,244.8,248,145882
2025-08-07,248,252.6,247.1,248.9,178128
2025-08-08,250,257.5,247.4,256.4,197306
2025-08-11,257.9,263,254,255.8,224519
2025-08-12,256.1,257.2,251.4,252.5,125003
2025-08-13,255,259,253.5,255,218382
2025-08-14,255.1,255.1,245,246.6,156000
2025-08-18,247.8,256.7,245,255,220994
2025-08-19,254.3,257.5,251,253.8,152386
2025-08-20,253.5,256,250.6,251.9,104760
2025-08-21,253,262.7,252.2,260.9,268115
2025-08-22,259.9,265.6,254.9,257.9,276119
