Date,Open,High,Low,Close,Volume
2025-07-28,15.6,15.635,15.105,15.105,1200895
2025-07-29,15.1,15.46,14.94,15.3,908542
2025-07-30,15.285,15.3,15,15.125,953030
2025-07-31,15.135,15.19,15,15.095,789416
2025-08-01,15,15.05,14.65,14.67,713920
2025-08-04,14.67,14.9,14.415,14.87,711892
2025-08-05,14.925,14.93,14.525,14.71,769025
2025-08-06,14.7,14.75,14.525,14.655,673244
2025-08-07,14.71,15.015,14.48,14.71,1234297
2025-08-08,14.705,14.725,14.6,14.66,762929
2025-08-11,14.665,14.735,14.46,14.515,873127
2025-08-12,14.52,14.63,14.505,14.63,575674
2025-08-13,14.66,14.805,14.525,14.705,718665
2025-08-14,14.725,14.735,14.55,14.58,539960
2025-08-18,14.61,14.815,14.48,14.79,581594
2025-08-19,14.86,15.25,14.79,15.075,1130939
2025-08-20,15.19,15.19,14.805,15,497992
2025-08-21,14.99,15.4,14.64,15.3,844158
2025-08-22,15.215,15.365,14.935,14.985,554740
