Date,Open,High,Low,Close,Volume
2025-07-28,51.34,52.06,49.33,49.33,3483940
2025-07-29,49.5,50.9,49.4,50.8,1646870
2025-07-30,50.4,50.44,49.73,50.2,1361320
2025-07-31,50.7,51.2,48.9,49.61,1678592
2025-08-01,49.99,50.1,47.1,47.51,2734862
2025-08-04,47.67,48.42,47.16,47.8,1721330
2025-08-05,48,48.61,47.15,48.47,2045351
2025-08-06,48.47,49.04,47.9,48.55,2140610
2025-08-07,48.83,49.1,48,48.17,2232305
2025-08-08,48.22,48.34,47.32,47.75,1695440
2025-08-11,47.96,48.11,47.12,47.55,1743619
2025-08-12,47.75,47.82,46.64,47.27,2023021
2025-08-13,47.3,47.94,47,47.5,2720255
2025-08-14,47,47.43,46.26,47.22,1887861
2025-08-18,47.96,48.78,47.61,48.38,1988069
2025-08-19,48.7,49,47.52,48.97,1620830
2025-08-20,48.6,50.36,48.32,49.63,1932183
2025-08-21,49.88,50.68,49.37,49.64,2506751
2025-08-22,46.85,47.9,44.9,46,10579082
