Date,Open,High,Low,Close,Volume
2025-07-28,242,245,239.5,245,2871
2025-07-29,244,244,237,237,1309
2025-07-30,236.5,239.5,231.5,236,2100
2025-07-31,233,236.5,233,235,610
2025-08-01,237,241,234,239,3368
2025-08-04,239.5,242,237,242,1486
2025-08-05,242,243.5,239,240,1426
2025-08-06,241,245,241,243.5,8112
2025-08-07,242.5,254,241.5,250,14916
2025-08-08,250,258.5,248,254,2075
2025-08-11,256,259,246,247,2193
2025-08-12,248,248,237.5,240,3183
2025-08-13,242,243.5,237,238,1101
2025-08-14,237.5,240.5,236,239,1296
2025-08-18,239,249,236,242.5,1983
2025-08-19,250,250,243,246,3941
2025-08-20,247,254,243,254,4620
2025-08-21,254,255.5,251,255,829
2025-08-22,256,256,248,250,4606
