Date,Open,High,Low,Close,Volume
2025-07-24,19.8,20.32,19.57,19.8,340929
2025-07-25,19.76,20.06,19.62,19.64,67254
2025-07-28,19.7,19.91,18.91,19,254245
2025-07-29,19,19.31,18.72,19.13,133865
2025-07-30,19.13,19.24,18.81,19.2,113275
2025-07-31,19.2,19.22,18.9,18.96,196266
2025-08-01,18.96,18.96,18.55,18.59,180945
2025-08-04,18.59,18.67,18,18.36,239865
2025-08-05,18.03,18.88,18.03,18.78,222211
2025-08-06,18.78,19.14,18.59,19.07,155802
2025-08-07,19.07,19.07,18.71,18.81,152677
2025-08-08,18.99,19.31,18.82,18.92,223120
2025-08-11,18.92,19.19,18.08,18.5,184857
2025-08-12,18.54,18.89,18.35,18.78,205997
2025-08-13,19,19.17,18.57,18.93,350708
2025-08-14,18.96,19.48,18.2,18.45,231004
2025-08-18,18.9,18.9,18.21,18.77,158801
2025-08-19,18.45,18.91,18.45,18.8,115247
2025-08-20,18.8,18.8,18.37,18.53,112534
2025-08-21,18.88,18.98,18.63,18.96,178193
2025-08-22,19,19.2,18.5,18.52,150277
