Date,Open,High,Low,Close,Volume
2025-07-24,57.9,57.9,56.9,57,2689
2025-07-25,57.8,57.8,56,56.4,3650
2025-07-28,56.4,57.3,55,55.8,5322
2025-07-29,55.8,55.8,54.6,54.9,7502
2025-07-30,54.9,55,54.2,54.4,10778
2025-07-31,54.1,55.5,54.1,55.5,10519
2025-08-01,54.3,56.8,54.2,54.2,40321
2025-08-04,54.2,54.6,53.5,54.2,12233
2025-08-05,54.3,54.3,53.7,54,5892
2025-08-06,54,54,53.7,53.7,4177
2025-08-07,53.7,54,53,53.4,21018
2025-08-08,53.5,53.5,52.8,52.9,7996
2025-08-11,53,53.6,52.7,53,15778
2025-08-12,53,53,52.6,52.6,8832
2025-08-13,52.8,53,52.4,53,7772
2025-08-14,53,53.4,52.2,52.7,5193
2025-08-18,52.4,53.5,52,53.3,10284
2025-08-19,53.6,54.5,52.9,53,16541
2025-08-20,53,53.7,52.7,53,10716
2025-08-21,53.7,53.7,52.3,53.3,15986
2025-08-22,53,53,51.9,52,32210
