Date,Open,High,Low,Close,Volume
2025-07-23,33.7,34,33.7,33.7,3868
2025-07-24,33.7,34,33.7,33.8,2758
2025-07-25,34,34,33.55,33.8,2393
2025-07-28,33.65,34,33.5,33.6,5654
2025-07-29,33.7,34.5,33.6,33.7,1493
2025-07-30,34.45,34.45,33.5,33.8,1313
2025-07-31,33.8,34,33.6,34,1412
2025-08-01,34.35,34.45,32.4,32.6,7121
2025-08-04,32.7,33,32.7,32.8,2346
2025-08-05,32.8,33.4,32.7,32.8,1123
2025-08-06,33.3,33.3,32.8,32.95,853
2025-08-07,33.3,33.95,32.7,33.65,2695
2025-08-08,34,34,32.7,33.5,1427
2025-08-11,33.5,33.7,33.1,33.4,1915
2025-08-12,33.4,34.45,33.4,33.85,2137
2025-08-13,34.45,34.45,33,33,3799
2025-08-14,33,33.7,32.75,32.9,5084
2025-08-18,33.25,33.4,33,33.4,869
2025-08-19,33.5,33.95,33.2,33.6,1579
2025-08-20,33.6,33.8,33.2,33.2,1219
2025-08-21,33.9,33.9,33.1,33.1,2591
