Date,Open,High,Low,Close,Volume
2025-07-24,51.35,51.7,51.15,51.5,43262
2025-07-25,51.4,53.7,51.25,53.7,133095
2025-07-28,53.25,53.75,53,53.25,68544
2025-07-29,53.25,53.85,53.15,53.65,48838
2025-07-30,53.3,54.2,53.2,53.8,59646
2025-07-31,53.8,54.1,53,53,62838
2025-08-01,53,53.7,52.7,53,63911
2025-08-04,53,54,52.85,54,48278
2025-08-05,54,54.85,53.8,54.75,130836
2025-08-06,54.75,56.15,54.75,56.15,110024
2025-08-07,56,57.5,56,56.85,128341
2025-08-08,56.85,58.2,56.55,57.7,67518
2025-08-11,57.6,59.2,57.55,58,99070
2025-08-12,58,59.2,57.15,57.35,49481
2025-08-13,57.35,57.95,56.7,56.75,72956
2025-08-14,56.7,57.15,56.5,56.9,27621
2025-08-18,56.8,57.25,56.25,57.05,58257
2025-08-19,57.15,58.6,56.75,57.4,53580
2025-08-20,57.3,58.1,56.7,58,66629
2025-08-21,58,59.5,56.7,58.3,71701
2025-08-22,58.3,59.4,56.7,57.5,153691
