Date,Open,High,Low,Close,Volume
2025-07-23,324,327,319.5,326.5,10196
2025-07-24,326.5,331.5,325.5,331.5,15582
2025-07-25,327,331.5,326.5,331,3252
2025-07-28,328,331.5,328,331,6864
2025-07-29,329,336,329,336,12615
2025-07-30,335.5,336,331,336,6989
2025-07-31,336,338.5,328,333.5,14348
2025-08-01,330,335,326.5,330,20482
2025-08-04,328.5,337,328.5,336.5,9958
2025-08-05,336,337,333,334,10432
2025-08-06,335,338,333,338,10613
2025-08-07,338,348.5,335.5,346.5,70677
2025-08-08,342,345,335,343,12477
2025-08-11,343,346,338.5,342,8585
2025-08-12,339,347,339,346,3555
2025-08-13,343,347.5,335.5,340,10262
2025-08-14,344,345,329.5,339.5,26524
2025-08-18,335,339,331,339,4653
2025-08-19,338.5,344.5,338,344,16125
2025-08-20,344,345.5,340,343,3212
2025-08-21,346,347.5,342,347.5,6174
