Date,Open,High,Low,Close,Volume
2025-07-23,136,138.6,135.6,137.75,1021126
2025-07-24,139,140.1,136.65,137.8,853460
2025-07-25,136.9,137.45,135.35,135.9,336230
2025-07-28,136.75,137.25,131.9,131.95,572329
2025-07-29,132,133.8,131.55,132.9,599797
2025-07-30,132.55,134,131.5,133.35,324391
2025-07-31,130.6,130.95,127.4,127.8,1464222
2025-08-01,127.95,128.5,126.15,126.5,1088436
2025-08-04,127.5,127.8,125.55,126.8,386224
2025-08-05,127.8,128.2,125.9,126.55,458795
2025-08-06,127.1,128.2,126.45,128,424318
2025-08-07,128.2,133.6,127.7,133.15,1323072
2025-08-08,133,135.25,131.95,135.25,504451
2025-08-11,135.5,136.25,133.5,133.95,423383
2025-08-12,133.95,136.3,133.95,135.95,543211
2025-08-13,135.95,136.75,134.4,136.75,534530
2025-08-14,134.6,136,130.8,131.55,810825
2025-08-18,132.05,132.65,130.4,131.5,334631
2025-08-19,131.8,134.85,131.7,132.6,384142
2025-08-20,131.3,133.05,130.6,131.55,496030
2025-08-21,131.5,132.1,129.4,130.9,468992
