Date,Open,High,Low,Close,Volume
2025-07-23,402.9,408.6,399.6,406.1,28758
2025-07-24,406.5,414.2,404.5,414,49832
2025-07-25,414,415.5,409,411.8,26551
2025-07-28,414,416.7,402.2,403.6,26875
2025-07-29,403,412.5,403,411.2,20849
2025-07-30,411,416.3,409.6,416.3,34693
2025-07-31,416.4,417,410,412,68476
2025-08-01,411,411,403,405,27744
2025-08-04,405,409.3,401,407.2,12953
2025-08-05,408,410,401,401,21050
2025-08-06,402.7,412,401.1,412,23161
2025-08-07,411.5,429,409,424.8,61989
2025-08-08,424.2,429.7,419,428.5,23106
2025-08-11,428.5,429.3,422.4,426,39916
2025-08-12,424.5,430,424.5,429.5,25189
2025-08-13,428,429.5,419.5,425.9,17668
2025-08-14,423.7,425.2,417.1,420,18524
2025-08-18,420,423.8,412.3,421.4,16252
2025-08-19,425.9,426.3,417.1,424.9,19821
2025-08-20,420,424.1,415.6,418.9,12971
2025-08-21,421,424.7,416,424.3,9889
