Date,Open,High,Low,Close,Volume
2025-07-24,860.621,860.621,848.877,858.272,8517.9756522783
2025-07-25,858.272,859.681,845.588,848.877,4815.1095652764
2025-07-28,854.514,854.984,829.616,829.616,11971.784347973
2025-07-29,828.676,844.179,820.221,836.193,8737.2313044549
2025-07-30,836.193,849.346,832.435,846.058,10485.954782737
2025-07-31,847.937,853.105,817.402,821.16,16239.819130634
2025-08-01,828.676,830.086,808.007,814.583,13996.173913215
2025-08-04,814.583,817.402,808.007,816.462,7556.86956531
2025-08-05,824.918,825.388,804.718,808.476,10981.9408697
2025-08-06,815.053,820.69,803.309,820.221,8553.0991305396
2025-08-07,821.16,861.56,816.462,845.118,21177.328695912
2025-08-08,841.83,859.212,836.663,859.212,66598.372174729
2025-08-11,859.212,867.667,840.891,840.891,21961.753043747
2025-08-12,850.756,869.077,845.588,869.077,10871.248695785
2025-08-13,870.016,875.184,856.863,860.621,14007.881739302
2025-08-14,868.607,869.077,844.179,854.044,11662.059130578
2025-08-18,856.863,868.137,847.937,862.5,13417.168695817
2025-08-19,870,910,864.5,900.5,21032
2025-08-20,900,908.5,884.5,903,11418
2025-08-21,902,910,898,910,7742
2025-08-22,900.5,934.5,898,929.5,51022
