Date,Open,High,Low,Close,Volume
2025-07-23,16020,16415,16020,16210,7466
2025-07-24,16210,16285,16080,16150,4882
2025-07-25,16170,16170,15855,16105,2912
2025-07-28,16150,16245,15625,15875,2434
2025-07-29,15920,16250,15875,16160,4275
2025-07-30,16200,16900,16105,16875,8640
2025-07-31,16910,17025,16565,16690,4663
2025-08-01,16710,16710,16065,16185,4408
2025-08-04,16165,16490,15805,16435,3377
2025-08-05,16545,16595,16120,16205,3223
2025-08-06,16250,16420,16040,16385,2927
2025-08-07,16370,16835,16200,16430,4652
2025-08-08,16310,16875,16150,16835,3105
2025-08-11,16850,16895,16310,16310,2461
2025-08-12,16395,16600,16225,16260,2147
2025-08-13,16400,16505,16175,16505,1995
2025-08-14,16480,16540,16170,16380,2724
2025-08-18,16550,16725,16280,16445,2866
2025-08-19,16480,16965,16390,16900,3132
2025-08-20,16900,16990,16670,16850,2722
2025-08-21,16785,17050,16700,16915,2020
