Date,Open,High,Low,Close,Volume
2025-07-28,24.3,24.65,24,24.35,29835
2025-07-29,24.35,24.6,24.1,24.35,11142
2025-07-30,24.2,24.5,24.1,24.3,10401
2025-07-31,24.3,24.35,23.9,24.25,23281
2025-08-01,24.05,24.15,23.4,23.75,42199
2025-08-04,23.75,23.9,23.3,23.35,18915
2025-08-05,23.55,24.05,23.25,23.25,18922
2025-08-06,23.25,23.75,23.2,23.75,11222
2025-08-07,23.7,24,23.5,23.9,15184
2025-08-08,23.85,24,23.65,24,10219
2025-08-11,24.15,24.15,23.75,23.85,11133
2025-08-12,23.9,24,23.7,23.8,7557
2025-08-13,23.95,23.95,23.5,23.7,16047
2025-08-14,23.55,23.7,22.65,23.2,32728
2025-08-18,23.15,23.5,22.8,23.2,9985
2025-08-19,23.15,23.45,23.1,23.2,6842
2025-08-20,23.15,23.45,23.05,23.1,11517
2025-08-21,23.1,23.35,23.05,23.2,8061
2025-08-22,23.1,23.2,22.9,23,21136
