Date,Open,High,Low,Close,Volume
2025-07-24,848.6,865,848.6,860,17552
2025-07-25,855,878.8,849,877,20491
2025-07-28,877,889.8,862.6,864.2,25243
2025-07-29,856.4,882.8,856.4,878,14175
2025-07-30,878,891.4,868.2,886.4,13724
2025-07-31,886.4,892,854.6,888.6,33917
2025-08-01,880,886,855.4,866,23738
2025-08-04,866,890.2,856,890.2,22426
2025-08-05,898,907,864.2,869.2,19346
2025-08-06,869.2,903.6,869.2,902.8,18900
2025-08-07,902.4,954.8,893,943.2,35118
2025-08-08,942.8,964.4,932.2,961.6,24838
2025-08-11,961.8,992,960.8,982.6,33672
2025-08-12,982.6,999,973.4,982.4,20976
2025-08-13,990,1004.5,972.6,995,22448
2025-08-14,973,1007.5,971.4,991.6,20701
2025-08-18,985,998.8,977,993.2,18169
2025-08-19,993.2,1005.5,982.6,1000,22362
2025-08-20,998,999.6,976.6,985.2,14040
2025-08-21,980,1002.5,970,997.6,30181
2025-08-22,950,987,909,920,67428
