Date,Open,High,Low,Close,Volume
2025-07-23,14.75,14.8,14.54,14.6,673161
2025-07-24,14.6,14.95,14.6,14.95,624132
2025-07-25,14.9,15.1,14.76,15.09,712896
2025-07-28,15.08,15.22,14.81,14.84,977918
2025-07-29,15,15.15,14.7,15.04,1169409
2025-07-30,14.95,15.04,14.7,14.99,890506
2025-07-31,14.97,14.97,14.47,14.63,702401
2025-08-01,14.74,14.74,14.16,14.24,561666
2025-08-04,14.25,14.54,14.2,14.39,459840
2025-08-05,14.39,14.55,14,14.04,662165
2025-08-06,14.3,14.64,14.1,14.64,922603
2025-08-07,14.64,15.98,14.51,15.82,2988039
2025-08-08,15.81,16.04,15.58,16.02,1301077
2025-08-11,16.1,16.1,15.73,16.02,1059774
2025-08-12,16.08,16.08,15.56,15.81,610963
2025-08-13,15.8,16.1,15.79,15.85,1090823
2025-08-14,15.7,16.05,15.43,15.68,809276
2025-08-18,15.4,15.54,15.12,15.54,677812
2025-08-19,15.56,16.04,15.56,15.86,1180518
2025-08-20,15.81,15.86,15.47,15.69,564471
2025-08-21,15.68,16.05,15.63,16.01,625125
