Date,Open,High,Low,Close,Volume
2025-07-28,14.38,14.45,14.02,14.02,104303
2025-07-29,14,14.17,13.9,13.95,117722
2025-07-30,14.02,14.1,13.74,14.1,113855
2025-07-31,14.02,15,13.81,14.96,512790
2025-08-01,14.68,14.75,14.15,14.42,189448
2025-08-04,14.3,14.32,14.08,14.2,67036
2025-08-05,14.16,14.34,14.03,14.03,36044
2025-08-06,14.04,14.2,14.03,14.15,42761
2025-08-07,14.15,14.68,14.07,14.68,183293
2025-08-08,14.68,14.68,14.39,14.58,86174
2025-08-11,14.56,14.76,14.4,14.5,152542
2025-08-12,14.45,15.2,14.45,15.12,511873
2025-08-13,15.25,15.42,15.06,15.19,240257
2025-08-14,15.19,15.19,14.81,14.96,106071
2025-08-18,14.95,14.97,14.81,14.97,35460
2025-08-19,14.98,15.48,14.96,15.3,119329
2025-08-20,15.27,15.27,15,15.05,103216
2025-08-21,15.08,15.25,15.05,15.2,67919
2025-08-22,15.27,15.27,15.03,15.1,97383
