Date,Open,High,Low,Close,Volume
2025-07-24,672,672,665,669,865
2025-07-25,670,670,665,670,584
2025-07-28,669,672,660,661,872
2025-07-29,664,673,659,664,1204
2025-07-30,670,677,662,666,910
2025-07-31,669,669,662,663,428
2025-08-01,663,669,655,663,770
2025-08-04,665,665,651,653,1219
2025-08-05,675,678,652,661,1589
2025-08-06,665,669,654,655,773
2025-08-07,660,661,655,660,1156
2025-08-08,664,664,657,660,403
2025-08-11,660,664,653,653,1000
2025-08-12,651,660,651,657,605
2025-08-13,660,660,655,656,360
2025-08-14,656,659,655,659,471
2025-08-18,659,659,656,659,1478
2025-08-19,659,665,656,660,1467
2025-08-20,661,664,657,660,1270
2025-08-21,660,660,656,658,439
2025-08-22,658,658,647,654,866
