Date,Open,High,Low,Close,Volume
2025-07-24,9.09,9.14,8.972,9.03,999834
2025-07-25,8.99,9.01,8.914,8.944,441620
2025-07-28,8.982,8.994,8.702,8.792,1159436
2025-07-29,8.848,8.864,8.64,8.82,765002
2025-07-30,8.88,8.956,8.738,8.91,884022
2025-07-31,8.904,8.94,8.744,8.748,962770
2025-08-01,8.8,8.8,8.62,8.696,917888
2025-08-04,8.638,8.692,8.516,8.542,1159657
2025-08-05,8.592,8.592,8.432,8.478,1113283
2025-08-06,8.5,8.63,8.416,8.63,1258932
2025-08-07,8.65,8.798,8.582,8.648,1319453
2025-08-08,8.678,8.692,8.57,8.688,808130
2025-08-11,8.698,8.76,8.42,8.492,1203775
2025-08-12,8.568,8.66,8.512,8.6,1085266
2025-08-13,8.65,8.65,8.518,8.606,700928
2025-08-14,8.594,8.62,8.466,8.572,1099241
2025-08-18,8.592,8.826,8.544,8.792,1373712
2025-08-19,8.8,9.326,8.8,9.228,1690516
2025-08-20,9.3,9.374,9.182,9.36,1107070
2025-08-21,9.39,9.448,9.312,9.44,680173
2025-08-22,9.4,9.776,9.38,9.57,1616561
