Date,Open,High,Low,Close,Volume
2025-07-23,23,23.48,22.85,22.96,1216039
2025-07-24,23,23.25,21.91,22.33,1931725
2025-07-25,22.12,22.69,22.01,22.44,1213347
2025-07-28,22.35,22.88,22.07,22.18,1512708
2025-07-29,22.19,22.86,22.17,22.54,1279721
2025-07-30,22.55,23.29,22.55,23.28,1327451
2025-07-31,23.26,23.87,23.26,23.36,2572814
2025-08-01,23.25,23.45,22.66,22.96,3530252
2025-08-04,22.84,23.14,22.46,22.65,1652020
2025-08-05,22.77,22.92,22.41,22.47,984201
2025-08-06,22.47,22.9,22.1,22.6,1972120
2025-08-07,22.62,22.98,22.43,22.54,1024671
2025-08-08,22.54,23.07,22.31,22.79,1143891
2025-08-11,22.75,22.95,22.46,22.61,989938
2025-08-12,22.52,22.87,22.48,22.52,916890
2025-08-13,22.6,23.1,22.4,22.76,1797232
2025-08-14,22.5,22.95,22.5,22.74,934990
2025-08-18,22.61,22.9,22.35,22.42,1389514
2025-08-19,22.4,22.58,21.77,22.41,1446985
2025-08-20,22.31,22.56,21.89,21.93,1290866
2025-08-21,21.86,22.19,21.55,21.73,899427
