Date,Open,High,Low,Close,Volume
2025-07-28,204,205,197.2,197.7,495266
2025-07-29,198,204,196.3,202.4,963814
2025-07-30,202.4,205.4,201.2,204.5,487680
2025-07-31,204.4,207.6,203.1,204.7,1003082
2025-08-01,202.4,203,198.6,199.55,628727
2025-08-04,199.95,204.6,199.7,203.9,510463
2025-08-05,206,206.8,203.1,204.3,773470
2025-08-06,205,214,205,212.5,903615
2025-08-07,212,223,211.6,218.1,1074007
2025-08-08,219,223.1,214.2,222.1,701835
2025-08-11,221.5,222.6,217.8,219,409361
2025-08-12,219.6,222.2,217.9,219.7,436057
2025-08-13,221,222.6,214.9,218.1,647349
2025-08-14,214,214.5,208.9,210.8,1181492
2025-08-18,212.9,213,206.5,211.7,1060744
2025-08-19,212.5,215.2,209.9,213.4,694983
2025-08-20,212,215.3,210.8,213,432983
2025-08-21,214.4,215.8,212.9,214.5,408753
2025-08-22,200,201,188.1,190.4,2920051
