Date,Open,High,Low,Close,Volume
2025-07-24,59.4,59.4,58.8,59,1802
2025-07-25,58.8,59.2,58.6,59,1985
2025-07-28,59.2,60.4,59,60.4,7558
2025-07-29,60.4,61.2,59.4,60.4,1295
2025-07-30,61,61,60.2,61,1178
2025-07-31,59.6,60.8,59.6,60.2,1592
2025-08-01,60.8,60.8,59,59.6,1678
2025-08-04,60,60,59,59.8,2106
2025-08-05,59.2,59.8,58.8,59.2,3573
2025-08-06,59.6,59.8,58.8,59.4,1381
2025-08-07,59.4,60,59.4,60,5189
2025-08-08,60.2,60.8,59,60.8,2733
2025-08-11,61,61,58.6,60.4,4506
2025-08-12,60.8,60.8,58.8,59,1611
2025-08-13,59.6,59.6,58.4,59.2,1939
2025-08-14,59,59.4,58.4,59,4002
2025-08-18,59,59,58.6,58.6,3381
2025-08-19,58.6,59,58.6,58.8,2438
2025-08-20,59,59.6,58.6,59.6,4395
2025-08-21,59,59,58.4,58.8,2032
2025-08-22,59,59,57.2,57.8,6442
