Date,Open,High,Low,Close,Volume
2025-07-23,12.15,12.67,12.15,12.65,4662391
2025-07-24,12.72,12.75,12.275,12.57,3153540
2025-07-25,12.5,12.54,12.28,12.52,2085270
2025-07-28,12.27,12.35,11.82,12.055,4232025
2025-07-29,12.015,12.165,11.945,12.05,2455182
2025-07-30,12.2,12.28,12.025,12.17,2359914
2025-07-31,12.15,12.17,11.98,12.11,2863832
2025-08-01,12.02,12.1,11.82,11.97,2345504
2025-08-04,11.91,12,11.375,11.72,3488695
2025-08-05,11.745,11.905,11.675,11.75,1852355
2025-08-06,11.755,11.93,11.58,11.9,2336911
2025-08-07,11.935,12.04,11.88,11.915,2886844
2025-08-08,11.825,11.94,11.625,11.785,1866992
2025-08-11,11.67,11.8,11.23,11.315,2895836
2025-08-12,11.37,11.815,11.355,11.815,2777513
2025-08-13,11.825,11.92,11.505,11.615,2544461
2025-08-14,11.615,11.755,11.305,11.455,1537528
2025-08-18,11.405,11.45,11.12,11.41,1486851
2025-08-19,11.41,11.55,11.275,11.4,1715505
2025-08-20,11.31,11.365,11.12,11.295,1931074
2025-08-21,11.295,11.45,11.16,11.45,1092002
