Date,Open,High,Low,Close,Volume
2025-07-23,75.68,75.7919,73.9083,74.4864,5667935.3589242
2025-07-24,75.0646,76.799,74.7662,76.7244,2139978.3641818
2025-07-25,76.7803,76.8176,75.9784,76.8176,2447178.8303576
2025-07-28,77.3958,77.545,74.6916,74.934,1447256.1014913
2025-07-29,74.4491,76.6125,74.4305,76.5192,3017484.4022437
2025-07-30,76.8363,77.1906,76.0903,77.1906,12620395.013842
2025-07-31,77.1906,77.8993,76.5192,76.8176,2566231.3705276
2025-08-01,76.7057,76.7057,74.9713,75.68,3224975.3900889
2025-08-04,75.68,76.96,75.36,76.72,2764341
2025-08-05,77.7,77.84,76.12,76.48,2886475
2025-08-06,76.94,79.54,76.86,79.4,3395674
2025-08-07,79.4,82.12,79.3,81.5,4770231
2025-08-08,81.5,83.94,80.82,83.52,3402977
2025-08-11,83.52,83.94,82.46,82.88,1585779
2025-08-12,83.26,83.88,82.1,83.38,2010072
2025-08-13,84.48,86.46,84.02,85.14,3801558
2025-08-14,84.14,84.56,82.3,83.28,3540964
2025-08-18,83.62,83.62,80.7,82.5,2431207
2025-08-19,82.22,83.5,81.64,82.94,1992528
2025-08-20,81.88,83.5,81.5,82.58,1592681
2025-08-21,82.62,83.76,82.24,83.74,984314
