Date,Open,High,Low,Close,Volume
2025-07-24,16.7,16.74,16.13,16.26,150169
2025-07-25,16.45,16.45,15.9,15.93,61507
2025-07-28,16.12,16.15,15.71,15.8,33642
2025-07-29,16.07,16.07,15.65,15.71,65178
2025-07-30,15.78,15.91,15.58,15.59,67763
2025-07-31,15.6,15.71,15.32,15.49,66454
2025-08-01,15.44,15.8,15.22,15.6,52206
2025-08-04,15.52,15.62,15.22,15.25,57067
2025-08-05,15.29,15.34,15.08,15.09,46157
2025-08-06,15.08,15.62,15.08,15.49,67451
2025-08-07,15.5,15.99,15.49,15.84,53972
2025-08-08,15.83,15.9,15.65,15.9,31339
2025-08-11,15.92,16.56,15.9,16.35,88873
2025-08-12,16.35,16.4,15.9,16.39,60540
2025-08-13,16.3,16.39,15.86,15.86,47815
2025-08-14,15.86,16.07,15.75,15.99,20943
2025-08-18,15.99,16.3,15.96,16.2,43042
2025-08-19,16.2,16.6,16.11,16.5,65489
2025-08-20,16.48,16.48,16.1,16.27,26154
2025-08-21,16.25,16.4,16.12,16.21,18871
2025-08-22,16.21,16.33,16.12,16.25,27566
