Date,Open,High,Low,Close,Volume
2025-07-23,62.2,63.06,61.6,62,1476010
2025-07-24,62.48,62.7,61.72,62.5,945616
2025-07-25,62.26,62.54,61.68,62.5,1277716
2025-07-28,62.68,62.94,61.06,61.24,1344001
2025-07-29,61.5,62.4,61.14,62.4,1842769
2025-07-30,62.4,63.5,62.1,63.5,1859885
2025-07-31,63.6,63.64,62.64,63.02,973966
2025-08-01,62.78,62.88,61.66,62.36,1337724
2025-08-04,62.4,62.62,61.82,62.62,895645
2025-08-05,62.9,63.4,62.42,62.92,1282528
2025-08-06,63,63.48,62.4,63.48,1679937
2025-08-07,63.46,65.84,63.16,65.72,2960300
2025-08-08,65.7,65.76,63.94,65.64,1705626
2025-08-11,65.84,65.96,64.68,65.16,668848
2025-08-12,65.16,65.88,65.14,65.64,738069
2025-08-13,65.9,66.62,64.66,65.5,1601465
2025-08-14,65.5,65.58,64.14,64.9,1529404
2025-08-18,65.5,65.54,64,64.98,1265844
2025-08-19,65.26,65.6,64.58,65.42,965806
2025-08-20,65.42,65.46,64.38,64.94,1214259
2025-08-21,65.06,65.98,64.66,65.86,1215878
