Date,Open,High,Low,Close,Volume
2025-07-24,130.7,130.7,128.4,129.4,33875
2025-07-25,129.8,130,127.3,128.2,30950
2025-07-28,129.9,130.9,127.1,127.4,56134
2025-07-29,127.4,131.4,122.6,130,140749
2025-07-30,131.5,131.5,128.9,130,69766
2025-07-31,130.8,134.6,129.2,133.6,78261
2025-08-01,135,135.7,131,134.1,69970
2025-08-04,134.5,136.4,133.2,136.4,52522
2025-08-05,136.8,138.4,134.7,135.6,58195
2025-08-06,135,136.9,130.3,134.8,51064
2025-08-07,135.4,136.5,133.5,135.9,37935
2025-08-08,136,136.1,132.8,134,37352
2025-08-11,134.2,134.3,132.1,133.4,39308
2025-08-12,133.2,135.5,133,134,42033
2025-08-13,135,136.6,134,135.3,34116
2025-08-14,135.5,135.7,134.4,134.6,30727
2025-08-18,135,144.2,134.2,144,129890
2025-08-19,144,147.8,143.3,147.2,148997
2025-08-20,146,148.3,144,144.9,75903
2025-08-21,145,147.7,144.9,146.7,69703
2025-08-22,146,146,141.5,144.1,35110
