Date,Open,High,Low,Close,Volume
2025-07-23,23,23.1,22.9,22.9,1285
2025-07-24,23.1,23.3,23.1,23.2,1604
2025-07-25,23.4,23.4,23,23.2,2640
2025-07-28,23.4,23.5,23.2,23.4,11018
2025-07-29,23.4,23.4,23.2,23.4,252
2025-07-30,23.4,23.5,23.2,23.3,5747
2025-07-31,23.5,23.5,23.3,23.3,1058
2025-08-01,23.4,23.4,23.2,23.4,3026
2025-08-04,23.4,23.5,23.3,23.5,2480
2025-08-05,23.3,23.5,23.3,23.4,1455
2025-08-06,23.3,23.7,23.3,23.7,8836
2025-08-07,23.7,23.8,23.4,23.5,3600
2025-08-08,23.6,23.9,23.6,23.8,4061
2025-08-11,23.8,23.9,23.7,23.9,1885
2025-08-12,23.9,23.9,23.7,23.8,3558
2025-08-13,23.9,23.9,23.8,23.9,11544
2025-08-14,23.8,23.8,23.7,23.8,1158
2025-08-18,23.8,23.8,23.7,23.8,2996
2025-08-19,23.8,23.9,23.7,23.8,4108
2025-08-20,23.8,23.9,23.7,23.9,6367
2025-08-21,23.9,23.9,23.8,23.9,1420
