Date,Open,High,Low,Close,Volume
2025-07-28,540,544.6,525,526.2,49818
2025-07-29,524,537,519.4,535.4,73878
2025-07-30,538,555.8,531,552,53118
2025-07-31,550,554.2,543,549.4,51665
2025-08-01,541,542.4,520.4,524.2,54527
2025-08-04,523.6,534.8,523.6,534.8,61122
2025-08-05,540,540,518.2,520.6,56679
2025-08-06,524.6,540,519.8,539.8,68471
2025-08-07,538.6,558.8,534,553.2,86500
2025-08-08,550,570,547,567.6,84338
2025-08-11,565,573.2,556.2,564,59258
2025-08-12,570,573.4,563.6,572.2,52566
2025-08-13,573,576.2,559.4,567.2,49662
2025-08-14,566.8,566.8,541.2,549,59154
2025-08-18,550,553,535.4,545,48691
2025-08-19,550,557.4,537.6,555.2,39790
2025-08-20,554.6,554.6,540.4,550,41875
2025-08-21,552.4,559,544.6,555.4,28387
2025-08-22,525,535.4,509.8,509.8,187118
