Date,Open,High,Low,Close,Volume
2025-07-23,249,250,248,248,133
2025-07-24,248,250,248,250,190
2025-07-25,249,250,248,250,70
2025-07-28,249,253,249,252,257
2025-07-29,250,256,249,254,707
2025-07-30,251,254,250,253,124
2025-07-31,253,254,251,254,160
2025-08-01,251,251,249,249,144
2025-08-04,252,253,244,247,506
2025-08-05,245,250,245,247,191
2025-08-06,247,247,245,247,58
2025-08-07,247,249,247,247,76
2025-08-08,247,255,247,255,1233
2025-08-11,256,257,252,254,478
2025-08-12,254,254,249,251,65
2025-08-13,251,251,243,247,711
2025-08-14,246,248,242,243,535
2025-08-18,244,244,238,238,894
2025-08-19,238,246,238,245,872
2025-08-20,245,251,245,251,1393
2025-08-21,252,252,246,247,246
