Date,Open,High,Low,Close,Volume
2025-07-28,8.626,8.7,8.202,8.426,1899235
2025-07-29,8.426,8.554,8.272,8.4,2022415
2025-07-30,8.4,8.47,8.314,8.444,1087270
2025-07-31,8.4,8.442,8.22,8.338,1399674
2025-08-01,8.3,8.3,8.086,8.206,1785450
2025-08-04,8.18,8.194,7.702,8.06,2209878
2025-08-05,7.99,8.156,7.95,8.104,1399791
2025-08-06,8.102,8.34,8.07,8.34,954000
2025-08-07,8.344,8.4,8.2,8.222,1314038
2025-08-08,8.21,8.282,8.108,8.16,596429
2025-08-11,8.12,8.47,7.98,8.402,1895699
2025-08-12,8.418,8.806,8.342,8.754,1970507
2025-08-13,8.756,8.85,8.25,8.316,1905060
2025-08-14,8.316,8.462,8.096,8.236,1097405
2025-08-18,8.23,8.524,8.116,8.524,1368249
2025-08-19,8.45,8.74,8.45,8.734,1971455
2025-08-20,8.62,8.708,8.482,8.66,1071398
2025-08-21,8.594,8.69,8.5,8.68,1290224
2025-08-22,8.6,8.8,8.362,8.426,1672924
