Date,Open,High,Low,Close,Volume
2025-07-28,11.5,11.5,11.35,11.35,5833
2025-07-29,11.4,11.4,11.1,11.2,13132
2025-07-30,11.2,11.25,11,11.2,5281
2025-07-31,11.2,11.25,10.95,11.25,2070
2025-08-01,11.25,11.25,10.6,10.6,5415
2025-08-04,10.7,10.95,10.7,10.9,2131
2025-08-05,10.8,10.95,10.7,10.8,6145
2025-08-06,10.7,10.75,10.5,10.75,2786
2025-08-07,10.75,10.8,10.35,10.8,10589
2025-08-08,10.6,10.8,10.6,10.8,2993
2025-08-11,10.8,10.8,10.55,10.6,3469
2025-08-12,10.65,10.7,10.6,10.65,2498
2025-08-13,10.6,10.8,10.6,10.65,8877
2025-08-14,10.6,10.6,10.15,10.35,5416
2025-08-18,10.35,10.6,10.35,10.5,2099
2025-08-19,10.55,10.7,10.55,10.7,2447
2025-08-20,10.7,10.7,10.45,10.5,11260
2025-08-21,10.65,10.7,10.4,10.4,1257
2025-08-22,10.5,10.7,10.35,10.6,1213
