Date,Open,High,Low,Close,Volume
2025-07-24,75.1,78.7,75.1,77.4,45271
2025-07-25,78.1,78.1,76,76.2,17011
2025-07-28,77,78.3,75.8,75.8,21011
2025-07-29,77.2,78.1,76,77.5,14394
2025-07-30,78,78,76,76,18769
2025-07-31,76.9,78,73.2,74.5,144081
2025-08-01,75.3,75.3,73.5,73.7,15612
2025-08-04,74.6,75.9,73,75.4,13545
2025-08-05,75.4,75.4,74,74.5,6857
2025-08-06,74.9,75,74.2,75,11106
2025-08-07,74.9,75.1,73.6,74.6,18140
2025-08-08,75.2,76.2,74.2,74.5,15688
2025-08-11,74.5,76.1,74.4,74.7,9600
2025-08-12,75.2,75.2,73.1,73.5,6356
2025-08-13,73.2,73.9,72.1,72.9,14605
2025-08-14,73.5,74.5,72.2,74,17975
2025-08-18,74,75.4,73.1,74,12067
2025-08-19,74,75,73.7,74.5,25017
2025-08-20,74.9,75,73,73.3,8859
2025-08-21,74.3,74.3,72.2,73,19589
2025-08-22,72.9,73.6,72.5,73.5,39792
