Date,Open,High,Low,Close,Volume
2025-07-23,71.7,72.18,71.34,71.6,191226
2025-07-24,71.66,73.16,71.66,72.92,249314
2025-07-25,72.76,74,72.46,73.12,151831
2025-07-28,73.22,73.86,72.28,72.7,137800
2025-07-29,72.98,73.96,72.78,73.96,197355
2025-07-30,74,75.26,73.5,75,317352
2025-07-31,75.04,76.18,74,75.06,412965
2025-08-01,72,72.4,70.04,70.12,1210697
2025-08-04,70.5,72.66,70.04,72.3,380647
2025-08-05,72.7,75.58,72.68,74.24,536026
2025-08-06,75.24,76.46,74.52,76.14,412893
2025-08-07,76.16,79.1,76.1,78,513309
2025-08-08,77.76,78.46,76.28,77.4,201665
2025-08-11,77.2,78.2,76.42,77,154995
2025-08-12,77,77.38,76.24,76.68,186982
2025-08-13,76.7,78.6,75.64,76.22,194766
2025-08-14,76.38,76.8,74.7,76.36,329883
2025-08-18,76.36,77.44,75.44,77.2,167399
2025-08-19,77.42,78.16,77.1,77.4,175521
2025-08-20,77.2,77.34,76.14,76.48,110593
2025-08-21,76.46,77.56,76.42,77.5,137800
