Date,Open,High,Low,Close,Volume
2025-07-23,21.2,21.37,20.95,21.25,2129651
2025-07-24,21.17,21.42,21.08,21.15,1249381
2025-07-25,21.28,21.51,20.98,21.3,4447434
2025-07-28,21.3,21.47,20.78,20.79,1455353
2025-07-29,20.79,21.13,20.79,21.05,869111
2025-07-30,21.17,21.35,20.94,21.18,813588
2025-07-31,21.19,21.27,20.75,20.75,2008197
2025-08-01,20.8,20.82,20.01,20.06,2329397
2025-08-04,20.35,20.39,19.77,20.02,1318516
2025-08-05,20.3,20.41,19.94,20,1540413
2025-08-06,21.1,22.07,20.82,21.72,8524354
2025-08-07,21.7,21.98,21.48,21.8,3653060
2025-08-08,21.79,21.94,21.55,21.92,2096847
2025-08-11,21.92,22.12,21.7,21.8,1997722
2025-08-12,21.69,21.9,21.53,21.7,1156432
2025-08-13,21.7,21.9,21.42,21.7,6128675
2025-08-14,21.85,21.92,21.45,21.88,3234084
2025-08-18,21.93,22.1,21.62,21.67,9908237
2025-08-19,21.88,21.93,21.49,21.93,1430845
2025-08-20,21.82,21.88,21.42,21.6,1198775
2025-08-21,21.6,21.9,21.55,21.9,970362
